Site,Plot #,Treatment,Harvest date,harvest time,mesh?,date into oven,tin weight,tin weight + soil into oven,soil + tin out of oven,wt of soil for extraction,wet soil,dry soil,dry:wet,dry emh soil,intersections,external hyphae (g/m),Small,Large,Non,small m/g,large m/g,non am m/g
PJ,25,C,H1,35,n,6.17.13,2.502,7.743,7.563,3.004,5.241,5.061,0.9656554093,2.9008288495,55,1.3035067549,41,14,46,0.9717050355,0.3318017194,1.0902056495
PJ,26,C,H1,35,n,6.18.13,2.506,6.765,6.587,3.005,4.259,4.081,0.9582061517,2.8794094858,56,1.3370797099,35,21,66,0.8356748187,0.5014048912,1.5758439438
PJ,27,C,H1,35,n,6.18.13,2.566,6.408,6.297,3,3.842,3.731,0.9711087975,2.9133263925,47,1.1091273564,32,15,42,0.7551505405,0.3539768159,0.9911350844
PP,25,C,H1,35,n,6.18.13,2.586,7.512,7.422,3.006,4.926,4.836,0.9817295981,2.9510791717,106,2.4694356118,63,43,10,1.4676834297,1.0017521822,0.2329656238
PP,26,C,H1,35,n,6.18.13,2.605,7.479,7.403,3.005,4.874,4.798,0.9844070579,2.9581432089,120,2.7889116305,96,24,21,2.2311293044,0.5577823261,0.4880595353
PP,27,C,H1,35,n,6.18.13,2.455,7.664,7.578,3,5.209,5.123,0.9834901133,2.9504703398,109,2.5398492908,69,40,35,1.6077945052,0.9320547856,0.8155479374
GL,25,C,H1,35,y,6.18.13,2.622,7.128,7.118,3.001,4.506,4.496,0.9977807368,2.9943399911,29,0.6658395526,8,21,5,0.1836798766,0.482159676,0.1147999229
GL,26,C,H1,35,y,6.20.13,2.585,6.225,6.215,3.005,3.64,3.63,0.9972527473,2.9967445055,23,0.527655927,6,17,2,0.1376493723,0.3900065547,0.0458831241
GL,27,C,H1,35,y,6.20.13,2.548,6.435,6.427,3.007,3.887,3.879,0.9979418575,3.0008111654,18,0.4123884949,17,1,6,0.389478023,0.0229104719,0.1374628316
PJ,25,C,H1,35,y,6.20.13,2.569,6.565,6.464,3.006,3.996,3.895,0.9747247247,2.9300225225,18,0.4223517022,18,0,3,0.4223517022,0,0.0703919504
PJ,26,C,H1,35,y,6.20.13,2.596,6.035,5.999,3.006,3.439,3.403,0.9895318407,2.974532713,18,0.4160317332,11,7,7,0.2542416147,0.1617901185,0.1617901185
PJ,27,C,H1,35,y,6.20.13,2.59,6.203,,3,3.613,-2.59,-0.7168557985,-2.1505673955,21,-0.6713344595,16,5,5,-0.5114929215,-0.159841538,-0.159841538
PP,25,C,H1,35,y,6.20.13,2.548,5.876,5.783,3.005,3.328,3.235,0.9720552885,2.9210261418,21,0.494261239,19,2,11,0.44718874,0.047072499,0.2588987442
PP,26,C,H1,35,y,6.20.13,2.531,6.709,6.022,3.006,4.178,3.491,0.8355672571,2.5117151747,47,1.2864715046,39,8,12,1.0674976315,0.2189738731,0.3284608097
PP,27,C,H1,35,y,6.24.13,2.444,7.208,7.198,3.004,4.764,4.754,0.9979009236,2.9976943745,18,0.4128172673,10,8,9,0.2293429263,0.183474341,0.2064086337
GL,,C,H2,70,n,6.24.13,2.639,6.269,5.976,3,3.63,3.337,0.9192837466,2.7578512397,43,1.0719396164,25,18,3,0.6232207072,0.4487189092,0.0747864849
GL,,M,H2,70,n,6.24.13,2.564,7.87,7.376,3.004,5.306,4.812,0.9068978515,2.7243211459,118,2.9778060536,96,24,88,2.4226218741,0.6056554685,2.2207367179
GL,,P,H2,70,n,6.24.13,2.466,6.463,6.176,3.005,3.997,3.71,0.9281961471,2.7892294221,74,1.8239804728,48,26,9,1.1831224688,0.640858004,0.2218354629
PJ,,C,H2,70,n,6.24.13,2.582,7.84,7.221,3,5.258,4.639,0.8822746291,2.6468238874,135,3.5065612201,106,29,39,2.753299921,0.7532612991,1.0130065747
PJ,,M,H2,70,n,6.24.13,2.566,7.151,6.677,3.002,4.585,4.111,0.8966194111,2.6916514722,128,3.2693683008,92,36,47,2.3498584662,0.9195098346,1.200471173
PJ,,P,H2,70,n,6.24.13,2.623,9.123,8.152,3.011,6.5,5.529,0.8506153846,2.5612029231,166,4.4559140149,110,56,44,2.9527141063,1.5031999086,1.1810856425
PP,,C,H2,70,n,6.24.13,2.565,6.572,6.103,3.004,4.007,3.538,0.882954829,2.6523963065,197,5.1062316619,131,66,60,3.3955144554,1.7107172065,1.5551974605
PP,,M,H2,70,n,6.24.13,2.588,6.984,6.714,3.005,4.396,4.126,0.9385805278,2.8204344859,250,6.0939192475,177,73,93,4.3144948273,1.7794244203,2.2669379601
PP,,P,H2,70,n,7.22.13,2.517,6.867,6.488,3.001,4.35,3.971,0.9128735632,2.7395335632,265,6.6503109305,181,84,95,4.5422878431,2.1080230874,2.3840737298
GL,28,C,H2,70,y,7.22.13,2.579,6.559,6.341,3.001,3.98,3.762,0.9452261307,2.8366236181,53,1.2845377077,36,17,4,0.8725161788,0.4120215289,0.0969462421
GL,29,C,H2,70,y,7.22.13,2.465,6.282,6.258,3.006,3.817,3.793,0.9937123395,2.9870992926,46,1.0587194098,33,13,6,0.7595160983,0.2992033115,0.1380938361
GL,30,C,H2,70,y,7.22.13,2.504,7.258,7.236,3.003,4.754,4.732,0.995372318,2.9891030711,67,1.5410141071,26,41,1,0.5980054744,0.9430086327,0.0230002106
PP,28,C,H2,70,y,7.22.13,2.565,6.087,6.052,3.007,3.522,3.487,0.9900624645,2.9771178308,44,1.0160833974,30,14,8,0.6927841346,0.3232992628,0.1847424359
PP,29,C,H2,70,y,7.22.13,2.549,6.745,6.704,3.004,4.196,4.155,0.9902287893,2.9746472831,43,0.993815306,34,9,13,0.7858074513,0.2080078547,0.3004557902
PP,30,C,H2,70,y,7.22.13,2.621,6.814,6.751,3,4.193,4.13,0.9849749583,2.9549248748,48,1.116779661,16,32,4,0.372259887,0.744519774,0.0930649718
GL,,C,H3,108,n,7.22.13,2.453,6.7,6.547,3.005,4.247,4.094,0.9639745703,2.8967435837,55,1.3053450852,40,15,26,0.9493418801,0.356003205,0.6170722221
GL,,M,H3,108,n,7.22.13,2.463,6.775,6.649,3.002,4.312,4.186,0.9707792208,2.9142792208,67,1.5805795022,53,14,15,1.2503091584,0.3302703437,0.3538610826
GL,,P,H3,108,n,7.22.13,2.472,6.091,5.918,3.006,3.619,3.446,0.9521967394,2.8623033987,102,2.449949926,70,32,13,1.6813381845,0.7686117415,0.31224852
PJ,,C,H3,108,n,7.23.13,2.638,7.064,6.861,3.006,4.426,4.223,0.9541346588,2.8681287845,37,0.8869022946,26,11,31,0.6232286394,0.2636736551,0.7430803008
PJ,,M,H3,108,n,7.23.13,2.625,6.641,6.29,3.006,4.016,3.665,0.9125996016,2.7432744024,54,1.3533097516,28,26,30,0.7017161675,0.6515935841,0.7518387509
PJ,,P,H3,108,n,7.23.13,2.476,7.04,6.905,3.002,4.564,4.429,0.9704206836,2.9132028922,70,1.6519618365,52,18,32,1.22717165,0.4247901865,0.7551825538
PP,,C,H3,108,n,7.23.13,2.491,7.289,7.153,3.006,4.798,4.662,0.9716548562,2.9207944977,100,2.3538116103,76,24,34,1.7888968238,0.5649147865,0.8002959475
PP,,M,H3,108,n,7.23.13,2.487,6.473,6.389,3.004,3.986,3.902,0.9789262418,2.9406944305,80,1.8703065313,67,13,28,1.56638172,0.3039248113,0.654607286
PP,,P,H3,108,n,7.23.13,2.649,6.4,6.295,3.002,3.751,3.646,0.9720074647,2.917966409,116,2.7330677884,38,78,37,0.89531531,1.8377524784,0.8717543808
GL,31,C,H3,108,y,7.23.13,2.541,7.065,7.054,3.001,4.524,4.513,0.9975685234,2.9937031388,62,1.4238218696,25,37,24,0.5741217216,0.849700148,0.5511568527
GL,32,C,H3,108,y,7.23.13,2.437,6.484,6.414,3.005,4.047,3.977,0.982703237,2.9530232271,58,1.3503110857,18,40,16,0.4190620611,0.9312490247,0.3724996099
GL,33,C,H3,108,y,7.23.13,2.544,6.296,6.285,3.007,3.752,3.741,0.9970682303,2.9981841684,65,1.4904854902,28,37,27,0.6420552881,0.8484302021,0.6191247421
PJ,31,C,H3,108,y,7.23.13,2.49,7.297,7.283,3.002,4.807,4.793,0.9970875806,2.993256917,29,0.6660804787,19,10,5,0.436397555,0.2296829237,0.1148414618
PJ,32,C,H3,108,y,7.23.13,2.478,7.155,7.126,3.006,4.677,4.648,0.9937994441,2.9873611289,25,0.5753405517,13,12,10,0.2991770869,0.2761634648,0.2301362207
