OTUs	PJset	GLCH4	GLH1	GLset	PJCH3	GLCH2	GLCH3	PJCH4	PPCH4	PPCH2	PPH1	PPset	PJH1	PJCH2
SH223288.06FU_HM162152_reps	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH191157.06FU_HG764419_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
SH202568.06FU_UDB002622_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0
SH223059.06FU_KC152111_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0
SH210980.06FU_EU301658_reps	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
SH263191.06FU_GU237707_refs	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH238958.06FU_JF749175_reps	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH195263.06FU_DQ778912_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
SH200906.06FU_UDB015259_reps	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
SH231333.06FU_AF033475_refs	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH225342.06FU_EF635723_reps	6.0	1.0	0.0	0.0	12.0	0.0	5.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
SH218692.06FU_AB512337_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
SH204751.06FU_FJ197884_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	44.0	3.0	437.0	0.0	0.0
SH201070.06FU_AF178516_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	1.0	0.0	0.0	1.0
SH195806.06FU_HQ895803_reps	2.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	13.0	1.0
SH189850.06FU_EU041774_reps	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0
SH190470.06FU_GU910339_reps	9.0	0.0	0.0	0.0	7.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	2.0	7.0
SH209269.06FU_FJ440888_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0
SH203852.06FU_FJ005101_reps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0
SH235611.06FU_HQ649924_reps	0.0	0.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
