# Constructed from biom file
#OTU ID	PJCH3	PJset	PPCH2	PPCH4	GLCH4	PJCH4	PPset	PPH1	GLCH2	PJCH2	GLset	PJH1	GLH1	GLCH3
SH194657.06FU_DQ420831_reps	0.0	4.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
SH204543.06FU_JN867176_reps	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
SH195272.06FU_DQ420778_reps	4.0	3.0	0.0	3.0	0.0	0.0	12.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
SH195808.06FU_HQ895807_reps	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH217297.06FU_DQ452451_refs	0.0	2.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SH219475.06FU_AF405468_reps	106.0	204.0	20.0	9.0	301.0	41.0	7.0	7.0	60.0	12.0	38.0	35.0	19.0	109.0
SH207020.06FU_FJ623271_reps	9.0	29.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
SH190513.06FU_GU910785_reps	9.0	18.0	1.0	0.0	10.0	4.0	0.0	0.0	22.0	14.0	1.0	4.0	0.0	1.0
SH236642.06FU_FJ612947_reps	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
SH217360.06FU_GU721348_reps	0.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH270548.06FU_FJ150895_refs	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH193632.06FU_FR774153_reps	26.0	7.0	26.0	19.0	2.0	2.0	5.0	43.0	6.0	9.0	0.0	17.0	3.0	0.0
SH229481.06FU_AY833031_reps	0.0	0.0	2.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
SH194388.06FU_UDB017200_reps	2.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
SH224907.06FU_EU144787_reps	34.0	11.0	5.0	1.0	9.0	0.0	3.0	0.0	5.0	4.0	1.0	1.0	2.0	3.0
SH263194.06FU_FJ427055_refs	18.0	9.0	0.0	0.0	23.0	5.0	0.0	0.0	21.0	8.0	9.0	2.0	5.0	9.0
SH190469.06FU_JX982420_reps	39.0	11.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	10.0	0.0	1.0	0.0	3.0
New.ReferenceOTU5404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0
New.ReferenceOTU5400	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
New.ReferenceOTU5409	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU6278	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU6279	0.0	8.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU6273	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0
New.ReferenceOTU6270	1.0	9.0	0.0	2.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0
New.ReferenceOTU6271	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU6276	0.0	33.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU6277	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU6275	0.0	0.0	1.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU6182	1.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New.ReferenceOTU6183	5.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	1.0
