Taxon	GLCH2	GLCH3	GLCH4	GLH1	GLset	PJCH2	PJCH3	PJCH4	PJH1	PJset	PPCH2	PPCH4	PPH1	PPset
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Hysteriales;f__Gloniaceae;g__unidentified;s__Gloniaceae_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.000149711804776	0.000643224699828	0.0	0.000287494010541	0.0	0.000739462657136	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis;f__Myxotrichaceae;Other;Other	0.0	0.0	0.000184877056757	0.000175963399613	0.0	0.0	0.000299423609552	0.0	0.0	4.79156684236e-05	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis;f__Myxotrichaceae;g__Myxotrichum;s__Myxotrichum_carminoparum	0.0	0.0	0.0	0.0	0.0	0.0	0.00037427951194	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis;f__Myxotrichaceae;g__Oidiodendron;s__Oidiodendron_chlamydosporicum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00368906455863	0.00443677594281	0.0146882494005	0.000198649185538
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis;f__Myxotrichaceae;g__Oidiodendron;s__Oidiodendron_griseum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000985950209514	0.000299760191847	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis;f__Myxotrichaceae;g__unidentified;s__uncultured_Oidiodendron	0.000661229887591	0.000539811066127	0.000462192641893	0.00351926799226	0.000373622267887	0.000289939112786	0.00149711804776	0.00857632933105	0.000610687022901	4.79156684236e-05	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis;f__Pseudeurotiaceae;Other;Other	0.000661229887591	0.000539811066127	0.00526899611758	0.00369523139187	0.000186811133944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis;f__Pseudeurotiaceae;g__Pseudeurotium;Other	0.00022040996253	0.00215924426451	0.00443704936217	0.000703853598452	0.000186811133944	0.0	0.00037427951194	0.0	0.000610687022901	0.000287494010541	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis;f__Pseudeurotiaceae;g__Pseudeurotium;s__Pseudeurotium_sp	0.0	0.0	0.000277315585136	0.0	0.000373622267887	0.0194259205567	0.033385732465	0.00107204116638	0.0140458015267	0.00785816962147	0.0542819499341	0.138772491989	0.0392685851319	0.0740961462058
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis;f__Pseudeurotiaceae;g__Pseudeurotium;s__Pseudeurotium_sp_MF_4	0.00132245977518	0.0118758434548	0.0171935662784	0.00563082878761	0.000934055669718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis;f__Pseudeurotiaceae;g__Pseudogymnoascus;s__Pseudogymnoascus_appendiculatus	0.0	0.0	9.24385283786e-05	0.0	0.0	0.0	0.000149711804776	0.000214408233276	0.0	0.000622903689506	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis;f__Pseudeurotiaceae;g__Pseudogymnoascus;s__Pseudogymnoascus_roseus	0.000661229887591	0.00188933873144	0.00157145498244	0.00105578039768	0.0	0.0231951290229	0.00785986975073	0.00857632933105	0.00977099236641	0.0144226161955	0.00105401844532	0.000492975104757	0.00179856115108	0.00198649185538
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis;f__Pseudeurotiaceae;g__Pseudogymnoascus;s__Pseudogymnoascus_verrucosus	0.0	0.000269905533063	9.24385283786e-05	0.0	0.0	0.000289939112786	0.00037427951194	0.000214408233276	0.0	0.000479156684236	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Incertae_sedis;f__Pseudeurotiaceae;g__unidentified;s__Pseudeurotiaceae_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000790513833992	0.00419028839044	0.00089928057554	0.0105284068335
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;Other;Other;Other	0.0213797663654	0.0331983805668	0.057866518765	0.00985395037832	0.118625070054	0.0147868947521	0.00441649824089	0.0152229845626	0.00213740458015	0.0133684714902	0.0194993412385	0.00813408922849	0.00119904076739	0.0067540723083
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Corynesporascaceae;g__Corynespora;s__Corynespora_sp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00178784266985
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis;Other;Other	0.00330614943795	0.00674763832659	0.00785727491218	0.00862220658103	0.00971417896507	0.00376920846622	0.00164682985253	0.000428816466552	0.00030534351145	0.00206037374221	0.000263504611331	0.0	0.000299760191847	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis;g__Ascochyta;s__Ascochyta_hordei	0.0	0.0	0.0	0.0	0.0	0.000289939112786	0.000598847219103	0.00107204116638	0.0	0.00416866315285	0.00289855072464	0.000246487552379	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis;g__Didymella;s__Didymella_urticicola	0.0110204981265	0.00701754385965	0.00332778702163	0.00158367059652	0.00747244535774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis;g__Herpotrichia;s__Herpotrichia_juniperi	0.00198368966277	0.00134952766532	0.00231096320947	0.0707372866444	0.00168130020549	0.00260945201508	0.00583876038626	0.000214408233276	0.00030534351145	0.00584571154768	0.00843214756258	0.00936652699039	0.000599520383693	0.0150973381009
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis;g__Leptosphaerulina;s__Leptosphaerulina_sp_BF19	0.0	0.0	9.24385283786e-05	0.000175963399613	0.000186811133944	0.00231951290229	0.00763530204357	0.00171526586621	0.0	0.00129372304744	0.00131752305665	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis;g__Mycocentrospora;Other	0.0	0.0	0.00064706969865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis;g__Mycocentrospora;s__Mycocentrospora_cantuariensis	0.0	0.0	0.00415973377704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis;g__Paraphoma;s__Paraphoma_fimeti	0.0	0.0	0.0	0.0	0.0	0.000869817338359	0.000299423609552	0.000214408233276	0.000610687022901	0.000335409678965	0.0	0.000246487552379	0.00119904076739	0.000595947556615
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis;g__Paraphoma;s__Paraphoma_sp_VKM_3189	0.00022040996253	0.000539811066127	0.0	0.000351926799226	0.0	0.000869817338359	0.0	0.0	0.0	0.000191662673694	0.00237154150198	0.0	0.000299760191847	0.000198649185538
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis;g__Periconia;Other	0.0	0.0	0.0	0.0	0.0	0.000289939112786	0.0137734860394	0.0	0.0	4.79156684236e-05	0.00658761528327	0.0	0.0	0.000397298371077
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis;g__Periconia;s__Periconia_sp	0.0	0.0	0.0	0.0	0.0	0.000289939112786	0.00119769443821	0.00321612349914	0.0012213740458	0.000910397700048	0.0	0.0	0.0	0.0
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis;g__Periconia;s__Periconia_sp_9_MU_2012	0.00022040996253	0.000269905533063	0.000277315585136	0.000351926799226	0.0	0.00231951290229	0.00037427951194	0.0	0.0	9.58313368471e-05	0.00105401844532	0.00221838797141	0.00179856115108	0.000397298371077
k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Incertae_sedis;g__Periconia;s__Periconia_sp_CY198	0.00022040996253	0.00134952766532	0.0012941393973	0.0	0.000373622267887	0.0	0.00112283853582	0.00214408233276	0.000610687022901	0.0	0.0	0.0170076411141	0.0	0.0
